vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,42191829,78
mail.ru,mail.ru/,Почта Mail.Ru,4974922,75
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,2204851,80
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1513634,86
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1449074,75
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1422050,80
Lenta,lenta.ru,Lenta.Ru,1317361,82
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,1300221,83
mic_izvestia,iz.ru,Известия,1249520,86
kp,kp.ru,Комсомольская правда-Digital,1144176,72
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1060419,79
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",1049384,90
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,943375,78
russian.rt.com,russian.rt.com/,RT на русском,904400,79
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,890720,83
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,849486,85
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",825964,84
mail-my,my.mail.ru/,Мой Мир Mail.Ru,768107,76
starhit.ru,starhit.ru/,Starhit.ru - проект Андрея Малахова о звездах,740077,84
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,688159,91
Pikabu,pikabu.ru,Сообщество Пикабу,638179,77
life.ru,life.ru/,L!FE.ru,537667,89
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,522923,96
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,521015,77
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,520579,82
farpost,farpost.ru,Сайты Владивостока,491995,94
NaPlatforme,mirtesen.ru,Рекомендательная социальная сеть МирТесен,460612,69
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,452760,87
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,432848,78
irecommend.ru,irecommend.ru/,IRecommend - отзывы и рекомендации от реальных людей,430776,75
vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,42191829,78
mail.ru,mail.ru/,Почта Mail.Ru,4974922,75
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,2204851,80
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1513634,86
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1449074,75
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1422050,80
Lenta,lenta.ru,Lenta.Ru,1317361,82
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,1300221,83
mic_izvestia,iz.ru,Известия,1249520,86
kp,kp.ru,Комсомольская правда-Digital,1144176,72
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1060419,79
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",1049384,90
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,943375,78
russian.rt.com,russian.rt.com/,RT на русском,904400,79
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,890720,83
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,849486,85
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",825964,84
mail-my,my.mail.ru/,Мой Мир Mail.Ru,768107,76
starhit.ru,starhit.ru/,Starhit.ru - проект Андрея Малахова о звездах,740077,84
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,688159,91
Pikabu,pikabu.ru,Сообщество Пикабу,638179,77
life.ru,life.ru/,L!FE.ru,537667,89
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,522923,96
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,521015,77
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,520579,82
farpost,farpost.ru,Сайты Владивостока,491995,94
NaPlatforme,mirtesen.ru,Рекомендательная социальная сеть МирТесен,460612,69
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,452760,87
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,432848,78
irecommend.ru,irecommend.ru/,IRecommend - отзывы и рекомендации от реальных людей,430776,75
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,427353,95
dni.ru,dni.ru/,ДНИ ру - интернет-газета,417089,78
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,383865,81
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,380555,76
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,380062,58
ruprom,tiu.ru,Tiu.ru — Товары и услуги. Крупнейший в России портал товаров и услуг,374781,92
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",374162,71
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",372722,67
Sportbox,www.sportbox.ru,Sportbox.ru,349265,90
russianfood.com,russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,347090,74
livekuban.ru,livekuban.ru/,Живая Кубань - интернет-дневник Краснодарского края,330791,94
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),301864,60
animevost.org,animevost.org/,База №1 по просмотру аниме онлайн,301331,67
zaycev.net,zaycev.net/,ТУТ ЗАЙЦЕВ.НЕТ! Только самые свежие и популярные mp3 БЕСПЛАТНО и БЕЗ РЕГИСТРАЦИИ,298635,86
fishki,fishki.net/,Фишки Нет - первое развлекательное сообщество Рунета,295694,74
vz.ru,vz.ru/,ВЗГЛЯД.РУ,285974,81
CIAN,www.cian.ru/,ЦИАН ГРУПП - Лидер онлайн недвижимости России,285118,94
russian.rt.com/sport,russian.rt.com/sport/,Спорт - RT на русском,283167,86
tutu.ru,tutu.ru/,"Туту.ру - авиа и ж/д билеты, отели, информация для путешественников",264549,90
